task,task_label,sheet,sheet_row,model,dataset,trial,in_time,success,consecutive,score_recorded,score_rubric,failure_modes,note
task2,Pouring,Pouring,50,Pi0.5,200,5회차,False,False,False,0.0,0.0,drop;grasp_failure,병을 못 잡음 병을 놓침
task3,Valve,밸브 조작,6,ACT,50,1회차,True,True,True,10.0,10.0,,
task3,Valve,밸브 조작,7,ACT,50,2회차,True,True,True,10.0,10.0,hesitation,살짝 돌릴때 버벅이는 것 같음
task3,Valve,밸브 조작,8,ACT,50,3회차,True,True,True,10.0,10.0,,
task3,Valve,밸브 조작,9,ACT,50,4회차,True,True,False,6.0,6.0,grasp_failure,밸브를 잘 못 집고 꺽음
task3,Valve,밸브 조작,10,ACT,50,5회차,True,True,True,10.0,10.0,,
task3,Valve,밸브 조작,11,ACT,100,1회차,True,True,True,10.0,10.0,,
task3,Valve,밸브 조작,12,ACT,100,2회차,True,True,True,10.0,10.0,,
task3,Valve,밸브 조작,13,ACT,100,3회차,True,True,True,10.0,10.0,hesitation,중간에 좀 멈춰있었음
task3,Valve,밸브 조작,14,ACT,100,4회차,True,True,True,10.0,10.0,,
task3,Valve,밸브 조작,15,ACT,100,5회차,True,True,False,6.0,6.0,collision_or_push;operator_event,"밸브를 찍음, 모터 부하로 로봇 재시가함"
task3,Valve,밸브 조작,16,ACT,200,1회차,True,True,True,10.0,10.0,,
task3,Valve,밸브 조작,17,ACT,200,2회차,True,True,True,10.0,10.0,,
task3,Valve,밸브 조작,18,ACT,200,3회차,True,True,True,10.0,10.0,,
task3,Valve,밸브 조작,19,ACT,200,4회차,True,True,True,10.0,10.0,,
task3,Valve,밸브 조작,20,ACT,200,5회차,True,True,True,10.0,10.0,positive_remark,전반적으로 밸브를 더 잘 돌리는 듯 함
task3,Valve,밸브 조작,21,Pi0,50,1회차,True,True,True,10.0,10.0,,
task3,Valve,밸브 조작,22,Pi0,50,2회차,True,True,True,10.0,10.0,,
task3,Valve,밸브 조작,23,Pi0,50,3회차,True,True,True,10.0,10.0,,
task3,Valve,밸브 조작,24,Pi0,50,4회차,True,True,False,6.0,6.0,misperception;operator_event,"무효 1번, 모델이 이미 밸브가 돌아가 있음을 인지함, 밸브 위치를 잘 못 인식함"
task3,Valve,밸브 조작,25,Pi0,50,5회차,False,False,False,0.0,0.0,misperception,밸브 위치를 잘 못 인식함 * 2
task3,Valve,밸브 조작,26,Pi0,100,1회차,True,True,True,10.0,10.0,,
task3,Valve,밸브 조작,27,Pi0,100,2회차,True,True,False,6.0,6.0,collision_or_push,밸브를 찍음
task3,Valve,밸브 조작,28,Pi0,100,3회차,True,True,True,10.0,10.0,,
task3,Valve,밸브 조작,29,Pi0,100,4회차,False,False,False,0.0,0.0,hesitation,밸브 근처에서 머뭇거림 * 2
task3,Valve,밸브 조작,30,Pi0,100,5회차,True,True,False,6.0,6.0,hesitation,밸브 근처에서 머뭇거림
task3,Valve,밸브 조작,31,Pi0,200,1회차,True,True,True,10.0,10.0,,
task3,Valve,밸브 조작,32,Pi0,200,2회차,True,True,True,10.0,10.0,,
task3,Valve,밸브 조작,33,Pi0,200,3회차,True,True,True,10.0,10.0,,
task3,Valve,밸브 조작,34,Pi0,200,4회차,True,True,True,10.0,10.0,,
task3,Valve,밸브 조작,35,Pi0,200,5회차,True,True,True,10.0,10.0,,
task3,Valve,밸브 조작,36,Pi0.5,50,1회차,False,False,False,0.0,0.0,motion_instability,모션이 튐  *2
task3,Valve,밸브 조작,37,Pi0.5,50,2회차,False,False,False,0.0,0.0,grasp_failure,밸브를 못 잡음 * 2
task3,Valve,밸브 조작,38,Pi0.5,50,3회차,False,False,False,0.0,0.0,grasp_failure,밸브를 못 잡음 * 2
task3,Valve,밸브 조작,39,Pi0.5,50,4회차,False,False,False,0.0,0.0,grasp_failure;operator_event,노파심에 카메라 재부팅함.  밸브를 못 잡음 * 2
task3,Valve,밸브 조작,40,Pi0.5,50,5회차,False,False,False,0.0,0.0,grasp_failure,밸브를 못 잡음 * 2
task3,Valve,밸브 조작,41,Pi0.5,100,1회차,True,True,True,10.0,10.0,,
task3,Valve,밸브 조작,42,Pi0.5,100,2회차,True,True,False,10.0,6.0,collision_or_push,간신히 넣음 밸브를 찍음
task3,Valve,밸브 조작,43,Pi0.5,100,3회차,False,False,False,0.0,0.0,motion_instability;operator_event,약간 로봇이 들려서 수리함 모션이 튀면서 안됨 * 2
task3,Valve,밸브 조작,44,Pi0.5,100,4회차,False,False,False,0.0,0.0,collision_or_push;motion_instability,"밸브를 찍음, 모션이 튐"
task3,Valve,밸브 조작,45,Pi0.5,100,5회차,False,False,False,0.0,0.0,motion_instability;operator_event,혹시몰라 재부팅 해봤는데도 여전함 모션이 튐 * 2
task3,Valve,밸브 조작,46,Pi0.5,200,1회차,True,True,True,10.0,10.0,,
task3,Valve,밸브 조작,47,Pi0.5,200,2회차,True,True,True,10.0,10.0,operator_event,무효1 복사하다가 실수로 정지함.
task3,Valve,밸브 조작,48,Pi0.5,200,3회차,True,True,True,10.0,10.0,,
task3,Valve,밸브 조작,49,Pi0.5,200,4회차,True,True,True,10.0,10.0,,
task3,Valve,밸브 조작,50,Pi0.5,200,5회차,True,True,True,10.0,10.0,,
